target,description
dziennikarstwo i kultura mediów,dziennikarstwo kultura mediów studia skoncentrowane wokół szeroko rozumianego dziennikarstwa prasa radio telewizja kanały internetowe specyfiki mediów zatem planujesz swoją przyszłość zawodową roli osoby wpływającej opinię publiczną przekazującej informacje szerokiemu gronu odbiorców wybór kierunku strzałem dziesiątkę trakcie kursu zaznajomisz historią mediów dowiesz zmiany zachodziły przestrzeni skupisz przyswajaniu wiedzy językoznawczej będziesz uczestniczył zajęciach kultury języka najważniejszym narzędziem komunikacyjnym program studiów zakłada kształtowanie umiejętności praktycznych poznawanie warsztatu pracy dziennikarskiej toku studiów będziesz musiał dokonać wyboru specjalizacji najbardziej odpowiada zainteresowaniom planom zawodowym zadecydujesz pomiędzy dziennikarstwem internetowym mediami regionalnymi propozycja osób swoją przyszłość zawodową wiążą wykonywaniem zawodu dziennikarza prasowe radiowego telewizyjnego internetowego korzystającego social mediów prowadzącego blogi itd profesji pokrewnych np rzecznik prasowy administrator serwisu wydawca szczegółowy program kształcenia pytaj uczelni
dziennikarstwo i medioznawstwo,świat mediów ulega ostatnich latach dynamicznej zmianie choć coraz mniej słyszy klasycznej pracy szeroko pojęte media umacniają swoją pozycję społeczeństwie dziennikarstwo medioznawstwo studia próbują odpowiedzieć pytanie wyglądały media przyszłości podstawą programu studiów przedmioty obowiązkowe zakresu szeroko rozumianych nauk mediach prawo prasowe elementami własności intelektualnej polski system medialny współczesne modele systemów medialnych język wypowiedzi medialnej retoryka erystyka teoria komunikacji społecznej ponadto program przewiduje przedmioty kształcenia ogólnego podstawy prawa mikroekonomia makroekonomia historia polski historia powszechna filozofia szczególne znaczenie praktyki zawodowe realizowane trakcie trzech studiów wymiarze mniejszym miesięcy praktyki odbywają publicznych niepublicznych instytucjach związanych funkcjonowaniem rynku mediów stacje telewizyjne stacje radiowe biura prasowe portale internetowe zaplecza medialnego koncerny medialne agencje reklamowe firmy pr kierunku oferowane specjalności kierunek odpowiedni potrafią żyć informacji pasjonatów pisania dziennikarstwa mediów internetu blogów youtube wybrane przedmioty specjalizacji dziennikarskiej polskie media xx wieku warsztat dziennikarski gatunki dziennikarskie gatunki formaty współczesnych mediach polski system medialny dziennikarstwo polskie współczesne modele systemów medialnych technologie informacyjne mediów język wypowiedzi medialnej retoryka erystyka logopedia wystąpienia publiczne research media mobilne realizacja materiałów komunikowanie interpersonalne wstęp laboratorium pr konwersatorium specjalistyczne wstęp pr wstęp marketingu medialnego etyka pr materiały teksty gatunki fotografii mediach historia fotografii podstawy fotografii pracownia podstaw fotografii estetyka fotografii pracownia fotografii analogowej pracownia rejestracji obrazu pracownia projektowania graficznego pracownia fotoreportażu pracownia projektowania graficznego fotografia reklamowa fotografia kulturze współczesnej słowo wobec fotografii
dziennikarstwo i nowe media,dziennikarstwo nowe media kierunek praktyczny dający szerokie możliwości rozwoju branży medialnej pr zajęć studenci szlifują warsztat dziennikarski redagują teksty tworzą materiały multimedialne poznają pracę redakcji wewnątrz staże praktyki studenckie odbywają ramach ogólnopolskich gazet tygodników telewizji radiostacji magazynów lifestylowych filmowych sportowych programie kierunku dziennikarstwo nowe media podstawowym celem studiów kierunku dziennikarstwo nowe media rozwój umiejętności samodzielnego myślenia rozumienia świata dziennikarskiego warsztatu zdobycie umiejętności warsztatowych poznanie rozumienie rzeczywistości rozwijanie indywidualnych zainteresowań predyspozycji otwarcie myślenia zachodzące zmiany interpretacje zajęcia studentami prowadzą wybitni specjaliści dziedzinie mediów znani dziennikarze publicyści studia osób dociekliwych upartych samodzielnych umiejących działać presją czasu programie studiów znajdują przedmioty czytelnia prasy dzienniki tygodniki ekonomia społeczeństwo filozofia media budować markę sieci historia polski multimedia zdjęcia grafika video sieci literatura media media cc menedżer mediów montaż dźwięku obrazu przegląd mediów wydarzeń warsztat dziennikarski warsztat radiowy warsztat telewizyjny wprowadzenie dziennikarstwa internetowego
dziennikarstwo międzynarodowe,studia kierunku dziennikarstwo międzynarodowe celu przygotowanie studenta samodzielnego zdobywania podstawowych informacji rozmaitych źródeł selekcjonowania podstawie formułowania krytycznych sądów program kształcenia zadanie wykształcić słuchaczach umiejętności posługiwania warsztatem dziennikarskim zakresie gatunków funkcjonujących mediach różnego typu polsce krajach wybranego obszaru językowego student zdolny aktywnego uczestnictwa życiu kulturalnym wykorzystaniem różnych mediów różnych form przekazu uwzględnieniem zasad prawa autorskiego prasowego specjalności oferowane kierunku dziennikarstwo międzynarodowe propozycja widzą siebie roli dziennikarza szeroko rozumianej branży medialnej informacyjnej przykładowe przedmioty programie studiów praktyczna nauka języka angielskiego praktyczna nauka języka niemieckiego rosyjskiego historia kultura niemiec rosji stosunki rosyjskie niemiecki rosyjski system medialny film teatr niemczech rosji przegląd najważniejszych wydarzeń pisanie tekstów dziennikarskich
edukacja kulturalna,edukacja kulturalna studia drugiego stopnia przygotowujące realizacji rozmaitych programów działań kulturalnych dziedzin studenci uczą projektowania realizacji ewaluacji oceny działań programów edukacyjnych animacyjnych mediacyjnych dostosowanych charakteru instytucji kultury środowisk dostępnych środków studia twórczych kreatywnych samodzielnych humanistów głównym celem programu przekazanie studentom kompetencji zawodowych samodzielnego refleksyjnego krytycznego twórczego funkcjonowania obszarze szeroko pojętej kultury cel osiąga poprzez realizację trzech bloków kształcenia blok przedmiotów kierunkowych obejmuje przedmioty teoretyczne związane zagadnieniami kultury kultury współczesnej edukacji kulturalnej pracy publicznością zagadnienia zakresu historii sztuki filozofii zakresu animacji mediacji partycypacji blok skoncentrowany zagadnieniach związanych przygotowaniem pracy konkretnych środowiskach instytucjach kultury zajęcia prowadzone formie kursowej łączącej metody zajęć konwersatoryjnych warsztatowych ćwiczeń praktycznych studenci wybierają kursy spośród zaproponowanych wyboru każdym akademickim np teatr taniec film muzyka literatura edukacja muzealna itp blok zajęć praktycznych realizowanych zajęcia badawcze warsztatowe współpracy wybranymi instytucjami kultury
egiptologia,kierunek orientalistyka egiptologia skupia badaniach dotyczących starożytnego egiptu koncentruje głównie nauce kulturze religii charakter interdyscyplinarny ramach różnych programów stypendialnych student możliwość ubiegania wyjazdy naukowe wybranych ośrodków naukowych europie celu podnoszenia swoich kwalifikacji umiejętności językowych możliwość uczestniczenia badaniach prowadzonych egipcie studia realizowane trybie stacjonarnym charakter dwustopniowy studia licencjackie studia magisterskie studia adresowane humanistów pasjonatów historii interesujących kulturą religią starożytnego egiptu program studiów koncentruje przedmiotach literatury epigrafiki historii filozofii religii archeologii starożytnego egiptu studenci uczą języka kulturowa historia filozofii wstęp badań dzieje starożytnego egiptu archeologia starożytnego egiptu literatura starożytnego egiptu religia starożytnego egiptu wiedza klasycznym języku egipskim wiedza języku nowoegipskim lektura tekstów egipskich epigrafika
ekologia integralna,studenci kierunku ekologia integralna zdobywają wiedzę pozwalającą analizować interpretować wzajemne relacje człowiekiem przyrodą perspektywy różnych dyscyplin naukowych uczą wypracowywać konstruktywne wnioski dotyczące relacji kształcenia uzyskują kompetencje obszarze nauk teologicznych uzupełnione aktualną wiedzą zakresu nauk ścisłych przyrodniczych społecznych humanistycznych uczą dokonywać oceny wpływu inwestycji środowisko monitorowania środowiska przyrodniczego oceny zmian środowiska przyrodniczego studia realizowane poziomie drugiego stopnia kierunek dedykowany absolwentom programie studiów przewidziano przedmioty ekologia ogólna podstawy ekologii integralnej biblijne fundamenty myśli ekologicznej biologia środowiska przyrodniczego bioróżnorodność aksjologia ekologiczna technologie proekologiczne edukacja ekologiczna
ekomiasto,studia kierunku ekomiasto interdyscyplinarną unikatową skalę polski propozycją kształcenia zadnie wykształci specjalistów posiadających wiedzę umiejętności kompetencje pozwalające aktywnie uczestniczyć kształtować procesy rozwoju miasta duchu zrównoważonego rozwoju zielonej gospodarki ochrony środowiska oferta stanowi odpowiedź potrzeby współczesnych miast proces kształcenia skupia wokół problemów środowiskowych gospodarczych społecznych istotnych funkcjonowania społeczności miejskich studenci uzyskają wiedzę ramach modułów ostatnim studenci dokonują wyboru jednej pracowni specjalistycznych pogłębiać umiejętności nabyć kompetencje specjalistyczne ramach studiów przewidziane czterotygodniowe praktyki zawodowe propozycja kształcenia zawodowo pragną dbać zrównoważony rozwój miast szczególnym uwzględnieniem ochrony środowiska dbałością zieloną gospodarkę przykładowe przedmioty nauczania ekonomia środowiska ekonomika miasta ekosystemy przyrodnicze miasta samorząd terytorialny administracja publiczna konflikty środowiskowe zintegrowane planowanie rozwoju miast wartość wycena środowiska finansowanie zrównoważonego rozwoju miast zintegrowane systemy narzędzia zarządzania podstawy geomonitoringu gis teledetekcja stres środowiskowy tolerancja organizmów ekologia ogólna
ekonomia społeczna,studia kierunku ekonomia społeczna dostarczają specjalistycznej zakresu ekonomii finansów społecznej gospodarki rynkowej dyscyplin pokrewnych studenci zdobywają umiejętności zakresie formułowania problemów finansowych rozpoznawania zagrożeń ekonomicznych prawnych planowania działań kontrolowania wprowadzania działalności organizacji duży nacisk kładziony znajomość języków obcych technik informacyjnych komunikacyjnych studia kierunku przygotować współpracy kierowania zespołem rozwiązywania problemów wystąpień publicznych studiach ii stopnia studentom proponowane specjalności kandydaci kierunek mieć szerokie zainteresowania wyróżniać uporządkowanym kreatywnym analitycznym myśleniem kierunek osób potrafią współpracować otwarte programie studiów znajdziemy przedmioty mikroekonomia makroekonomia podstawy prawa psychologia biznesu fundusze unii europejskiej finanse bankowość zarządzanie zasobami ludzkimi współczesna myśl ekonomiczna finanse publiczne polityka gospodarcza międzynarodowe stosunki gospodarcze system podatkowy organizacje etyka biznesie wprowadzenie zarządzania projektami prawo gospodarcze
ekoturystyka,studia pierwszego stopnia kierunku ekoturystyka pozwalają nabycie umiejętności organizacji prowadzenia imprez turystycznych wypraw specjalistycznych zastosowania innowacyjnych metod geowizualizacji fotografii promocji social media trakcie trwania studiów poznasz teorię ekoturystyki obsługę ruchu turystycznego zasady obsługi sprzętu urządzeń służących pozyskiwania przetwarzania analizy danych geograficznych przyswoisz nowoczesne metody ochrony środowiska sposoby realizacji wydarzeń ekoturystycznych zasady projektowania materiałów programów edukacyjnych poznasz potrzeby rynku turystycznego kontekście ekoturystyki wybrane kursy dodatkowo przygotują studenta pracy zakresie edukacji ekologicznej lidera szeroko rozumianym rynku turystycznym trzyletnie studia licencjackie obejmują semestr mobility window pozwalający wyjazdy stypendia zagraniczne indywidualny wybór kursów np green tourism turystyka kulinarna enoturystyka mindfulness przyroda bushcrafting krajobrazy wulkaniczne krasowe świata program kształcenia kładzie nacisk umiejętności menedżerskie techniczne połączeniu wiedzą otwartością przyrodę współczesne wyzwania środowiskowe kierunek proponowany osób otwartych ciekawych świata zainteresowanych nowymi trendami globalnej turystyce studia oferują nabycie wszechstronnej wiedzy środowisku nowoczesnym świadomym podróżowaniu duchu zrównoważonego rozwoju zintegrowanym ochroną przyrody wiedzą kulturze lokalnych społeczności świecie przykładowe przedmioty studiach geowizualizacja fotografia social media ekoturystyce bezpieczeństwo zarządzanie ryzykiem terenie turystyka zrównoważona turystyka faunistyczna ekoturystyka wyspach wybrzeżach globalne destynacje ekoturystyczne green tourism
etnologia i antropologia kulturowa,etnologia antropologia kulturowa zajmuje opisem historią teorią kultury różnych aspektach dokumentuje analizuje zróżnicowanie kultur skali globalnej regionalnej począwszy kultur plemiennych ludowych tradycje społeczeństw nowoczesnych trakcie studiów kierunku etnologia antropologia kulturowa zrozumiesz kultura determinuje życie zachowań ludzkich źródła poznasz najważniejsze metody interpretacji zjawisk odkryjesz bogactwo różnorodność kultur całego świata studia kierunku etnologia antropologia kulturowa przygotują absolwentów pracy instytucjach kulturalnych oświatowych muzealnych turystycznych mediach pracować możesz instytucjach firmach prowadzone badania opinii społecznej reklama marketing public relations niezbędne umiejętności interpretowania zjawisk instytucjach pozarządowych administracji publicznej etnologia antropologia kulturowa osób głodnych wiedzy różnicach kulturowych zmianach oddziaływaniu kultury programie studiów znajdują przedmioty historia myśli etnologicznej antropologicznej antropologia miasta folklor kultura popularna wstęp etnologii antropologii kulturowej metody badań etnograficznych żydzi polscy kategoria kulturowa antropologia serialu antropologia współczesności etnologii społeczeństw pozaeuropejskich etnologii globalnej rytuał mit religia wybrane zagadnienia etnologii polski ludowa wizja świata etniczność nacjonalizm antropologia krajobrazu kulturowego wsi polskiej etnologia bałkanów etnologia europy wschodniej hermeneutyka poststrukturalizm postmodernizm muzealnictwo współczesnej kulturze
european politics and economics,studia kierunku european politics and economics skupiają procesie integracji europejskiej wymiarze ekonomicznym przedmioty realizowane trakcie studiów dostarczyć wiedzy zagadnieniach ekonomicznych prawnych wymiarach integracji europejskiej umożliwiają analizowanie przebiegu integracji europie kontekstu powstania wspólnot europejskich studia stopnia trybie stacjonarnym prowadzone języku angielskim kierunek studiów osób zainteresowanych funkcjonowaniem unii europejskiej pragnących poznać zasady integracji europejskiej kontekście ekonomiczno politycznym programie studiów znajdziemy przedmioty zakresu studies state and politics introduction law sociology history of european economic and political integration european political systems philosophy microeconomics macroeconomics european cultures and societies
european studies,studia kierunku european studies charakter interdyscyplinarny celem wyposażenie studenta wiedzę zakresu polityki prawa administracji religii kultury ekonomii finansów krajów kontynentu europejskiego wiedza służyć rozwijaniu umiejętności analizy zjawisk wpisujących zagadnienia europeistyczne szczególny nacisk programie studiów położony zdobycie wiedzy instytucjach polityce ue relacjach ue innymi regionami roli europy świecie studia ii stopnia trybie stacjonarny realizowane języku angielskim studia adresowane osób interesujących zjawiskami społecznymi politycznymi gospodarczymi zachodzącymi europie unii europejskiej planują realizować zawodowo strukturach administracji unijnej programie studiów znajdziemy przedmioty introduction political science introduction sociology unity and diversity of european culture introduction economics introduction international relations cultural and social construction of european identities eu common policies and policy making modern european state formation introduction public international law history memory and the making of modern europe cultural and social construction of european identities european states and their political systems trajectories of central and eastern europe human rights law in the european context
europeistyka,kierunek europeistyka kształci specjalistów zajmujących relacjami wynikającymi przynależności kraju unii europejskiej pracujących rzecz wspólnoty krajów członkowskich studia idealne marzą karierze unijnego urzędnika studia obejmują zagadnienia zakresu prawa socjologii politologii ekonomii stosunków międzynarodowych studenci poznają uwarunkowania procesów integracyjnych europie prawne ekonomiczne aspekty funkcjonowania unii europejskiej zdobywają wiedzę temat europejskiej tradycji historii kultury uczą analizować zagadnienia społeczne polityczne prawne ekonomiczne związane działalnością ue zdobędziesz umiejętności niezbędne europejskim polskim rynku pracy przykładowe specjalności oferowane europeistyce studia europeistyce propozycja osób interesują życiem społecznym politycznym europy procesami integracyjnymi unii europejskiej wybrane przedmioty programie studiów pozyskiwanie funduszy unijnych projektowych opracowanie strategii ewaluacja projektów działanie organizacjach instytucjach edukacja medialna psychologia społeczna mediacje negocjacje promocja reklama warsztaty specjalistyczne przemiany społeczne europie zachowania procesy decyzyjne jednostek gospodarczych
europeistyka kulturowa,europeistyka kulturowa interdyscyplinarne studia humanistyczne łączące wiedzę zakresu kulturoznawstwa prawa historii nauk społecznych celem kształcenia kierunku dostarczenie studentom wiedzy umożliwi opis analizę zjawisk kulturowych religijnych społecznych politycznych specjalności oferowane europeistyce kulturowej propozycja otwartych umysłów osób ciekawych inności miłośników sztuki literatury historii wybrane przedmioty nauczania realizowane kierunku europeistyka kulturowa historia polityczna sztuka kultura europejska prawo wspólnotowe wiedza mediach przekazach medialnych nauki społeczne wiedza systemach religijnych współczesne społeczeństwa europejskie
familiologia,familiologia kierunek przybliża pojęcie rodziny ujęciu humanistycznym społecznym teologicznym obejmuje zagadnienia obszaru pedagogiki psychologii socjologii studenci poznają mechanizmy pomocy sposoby wsparcia rodzin problemami funkcjonowaniu przeżywających chwilowe trudności uczą pracować rodzinami zagrożonymi wykluczeniem społecznych tymi znajdują osoby chore niepełnosprawne kandydaci studia wyboru specjalności kandydatów cechować wrażliwość problemy chęć niesienia pomocy otwartość zaradność kształcenie kierunku familiologia obejmuje przedmioty obszaru psychologii pedagogiki socjologii teologii
filmoznawstwo i wiedza o nowych mediach,ojciec chrzestny pulp fiction gwiezdne wojny kierunek filmoznawstwo wiedza nowych mediach zapewnia studentom wszechstronne przygotowanie zakresie znajomości analizy współczesnej kultury audiowizualnej toku studiów studenci zapoznają historią filmu powszechnego polskiego historią polskiego filmu dokumentalnego historią mediów wiedzą dotyczącą historii uzyskują kompetencje analityczne analizy filmu współczesnych zjawisk medialnych mediów społecznościowych szeroko rozumianej cyberkultury wiedzę filmie grach wideo nowych mediach zdobywa tle ogólnej wiedzy kulturze program studiów charakter modułowy wyróżnić grupy przedmiotów studenci możliwość uczestnictwa projekcjach filmowych uzupełniających wykłady historii filmu kierunek wprost wymarzony miłośników kina kultury trakcie studiów pojawiają przedmioty historia filmu niemego polski film dokumentalny historia filmu klasycznego historia filmu polskiego gatunki telewizyjne wiedza literaturze xx historia powszechna xx wprowadzenie wiedzy grach wideo historia sztuki historia filozofii historia mediów warsztaty filmowe wiedza teatrze komunikacja kulturowa wstęp projektowania gier wideo
gastronomia i catering dietetyczny,studia inżynierskie profilu ogólnoakademickim kierunku gastronomia catering dietetyczny celu wyposażyć studentów wiedzę temat problemów wyzwań dotyczących nowoczesnego przetwórstwa żywności racjonalnego żywienia człowieka związanych produkcją potraw bezpiecznych konsumenta dzięki studiom absolwent zrozumie wpływ przydatność technologiczną surowców wartość odżywczą gotowych potraw przemiany biochemiczne chemiczne fizyczne wiedział procesy technologiczne metody utrwalania warunki dystrybucji przechowywania żywności wpływają jakość bezpieczeństwo wartość odżywczą zawartość składników nieodżywczych właściwościach prozdrowotnych nabyte kompetencje pozwolą dobranie technik metod technologii materiałów narzędzi celu rozwiązania określonego problemu związanego produkcją przechowywaniem potraw jakością bezpieczeństwem odbyciu programu kształcenia absolwent potrafił posługiwać sprzętem aparaturą stosowanymi technologii gastronomii przeprowadzić standardowe analizy dotyczące składu chemicznego jakości mikrobiologicznej wykonać ocenę cech sensorycznych potrawy wiedział projektować receptury potraw osób różnymi potrzebami żywieniowymi wytwarzać zachowaniem zasad dobrej praktyki produkcyjnej potrawy dania określonych cechach właściwościach dietetycznych ukończeniu studiów absolwent przygotowany planowania funkcjonowania przedsiębiorstwa gastronomicznego potrafi stosować podstawowe techniki narzędzia związane prowadzeniem działalności gospodarczej budowaniem strategii rozwoju zakładu przygotowany pracy zakładach żywienia zbiorowego firmach cateringowych garmażeryjnych absolwent wpojone nawyki ustawicznego dokształcania potrafi obsługiwać różne programy komputerowe zna język obcy posługuje językiem specjalistycznym zakresu kierunku studiów przygotowany podjęcia studiów ii stopnia interesują kulinaria bliska gastronomia wiedza żywieniu przykładowe przedmioty obowiązkowe
geografia i gospodarka przestrzenna,planistyka urbanizacja rozwój miast relacje pomiędzy różnymi sferami współczesnej gospodarki innymi zajmują specjaliści dziedziny gospodarki przestrzennej kierunek geografia gospodarka przestrzenna obejmuje szerszą wiedzę studenci zdobywają wiedzę zakresu geografii geodezji zagospodarowania przestrzennego procesów ekonomicznych uczą posługiwać pojęciami socjologicznymi antropologicznymi zyskują kompetencje zakresu matematyki statystyki stosowania narzędzi statystycznych celów badawczych interpretowania danych wyników testów statystycznych rozumienia podstawowych procesów ekonomicznych rozumienia relacji przestrzennych poszczególnymi sferami gospodarki posługiwania podstawowymi pojęciami socjologicznymi antropologicznymi studia odbywają indywidualnego programu ustalanego opiekunem naukowym wyboru cztery specjalności studia odpowiednie pasjonatów świata podróżników ścisłych umysłów osób boją dużej liczby przedmiotów różnych dziedzin przykładowe przedmioty studiach geografii gospodarki przestrzennej geografia regionalna świata geologia geoinformatyka meteorologia klimatologia gleboznawstwo geografia gleb terenowe metody badań przyrodniczych socjologia hydrologia oceanografia kształtowanie przestrzeni obszarów zurbanizowanych metody opracowań hydrologicznych geografia kultury religii ochrona środowiska historia architektury urbanistyki geografia przemysłu komunikacji gospodarka przestrzenna gmin globalne procesy społeczne ogólne regionalne geoinformatyki geomorfologii hydrologii meteorologii klimatologii gleboznawstwa biogeografii geoekologii geografii gospodarki przestrzennej rozwoju regionalnego turystyki ćwiczenia terenowe regionalne ćwiczenia terenowe przedmiotowe blok kursów pedagogicznych pilotaż przewodnictwo turystyczne transport
geografia wojskowa i zarządzanie kryzysowe,program studiów łączy interdyscyplinarną wiedzę praktykę zakresu geografii geologii zarządzania kryzysowego zarządzania zasobami ludzkimi geograficznych systemów informacyjnych gis zagadnień dotyczących obronności psychologii prawa kluczowymi elementami przedmioty ukierunkowane analizy środowiskowe prognozowanie geozagrożeń zagrożeń militarnych projektowanie działań zapewniających bezpieczeństwo zarówno laboratorium ćwiczeń terenowych studenci uczą pozyskiwać dane przestrzeni wykorzystywać celów obronności właściwego reagowania sytuacjach kryzysowych studiów prezentowana wiedza niezbędna skutecznego komunikowania zarządzania informacją studenci geografii wojskowej zarządzania kryzysowego uczą pilotowania dronów obsługi skanerów laserowych sztuk walki podstaw strzelectwa ramach kierunku podjąć jedną dwóch specjalności kierunek osób zdyscyplinowanych umiejących odnaleźć wojsku bojących zajęć charakterze fizycznym przykładowe przedmioty kierunku analizy przestrzenne gis funkcjonowanie geosystemów surowce strategiczne katastrofy ekologiczne podstawy geowizualizacji monitorowanie prognozowanie geozagrożeń systemy ostrzegania ludności psychospołeczne aspekty zarządzania kryzysowego astronawigacja podstawy toksykologii środowiskowej hydrologiczne bezpieczeństwo kraju meteorologia klimatologia polowa prawne aspekty zarządzania kryzysowego
geopolityka,geopolityka kierunek interdyscyplinarny kształcenie obejmuje zagadnienia zakresu geografii politycznej geografii regionów współczesnych modelów bezpieczeństwa metodyki analiz geopolitycznych międzynarodowych stosunków umiejętności zakresie metodyki analiz geopolitycznych prognozowania symulacji międzynarodowych studenci uczą diagnozować prognozować zagrożenia wymiarze lokalnym krajowym regionalnym światowym poznają metody reagowania kontekście bezpieczeństwa wewnętrznego międzynarodowego studia kładą nacisk wypracowanie umiejętności analitycznego kreatywnego myślenia argumentacji przekonywania negocjowania zespołowego działania komunikowania studia kierunku geopolityka dedykowane osobom zainteresowanym problematyką zmieniających trendów światowej geopolityce wykonywaniem symulacji analiz strategicznych kierunek odpowiedni osób umyśle analitycznym kreatywnych myślących strategicznie potrafiących reagować nieprzewidziane zdarzenia kandydaci ciekawi świata otwarci elastyczni program studiów przewiduje przedmioty kształcenia ogólnego kierunkowego
geopolityka i studia strategiczne,geopolityka studia strategiczne kierunek interdyscyplinarny studia realizowane poziomie pierwszego drugiego stopnia studenci uczą diagnozowania prognozowania zagrożeń strategicznego podejścia wyzwań związanych bezpieczeństwem państwa poznają zasady przeprowadzania symulacji analiz strategicznych zakresie geopolityki zdobywają wiedzę zakresu położenia geopolitycznego polski bezpieczeństwa polistrategii polski państw europejskich stosunków polski państwami sąsiednimi geopolityki geostrategii europie regionach świata studia dobrym wyborem osób zainteresowanych polityką współczesną sytuacją państwową międzynarodową program studiów obejmuje wiedzę zakresu geografii politycznej geografii regionów współczesnych modelów bezpieczeństwa metodyki analiz geopolitycznych międzynarodowych stosunków
global and development studies,kierunek global and development studies anglojęzyczne studia interdyscyplinarne mające zadanie przekazanie podstawowej rozległej tematycznie wiedzy temat współczesnych procesów globalizacyjnych problemów rozwojowych współczesnego świata studenci uczą rozumienia wyjaśniania procesów politycznych ekonomicznych instytucjonalnych współczesnych stosunków międzynarodowych aktualnych zagrożeń globalnych wynikających program studiów kierunku global and development studies kładzie nacisk wielopoziomową wielowariantową analizę globalnych uwarunkowań zagrożeń rozwoju współczesnego świata celem studiów zatem dostarczenie usystematyzowanej wiedzy zakresu globalnych regionalnych subregionalnych uwarunkowań funkcjonowania państw społeczeństw studia osób ciekawych świata władających językiem angielskim poziomie umożliwiającym zrozumienie czynny udział zajęciach program studiów zawiera przedmioty world history and politics political philosophy and ir society in the era of globalization domestic and international law academic english research and presentation organized crime in contemporary world introduction strategic studies world civilizations political and economic geography geopolitics key issues in contemporary international relations globalization and global governance global economy academic english writing skills liberalism multiculturalism and citizenship statistics introduction modernity education and development democratic processes in the world human rights global migrations and their consequences research methods in social sciences understanding culture and politics conflict resolution and peace building politics of multiculturalism global security civil society and ngos international political and economic organizations barriers of development in modern societies communication and media in the global era authoritarianism and globalization foreign language cultural dimension of human rights arab spring and its impact the arab world world religions contemporary parties and ideologies world cultural heritage regional integration and economic relations in europe and global politics since wwii introduction latin americas culture and societies islam tradition and modernity urbanization and development globalism regionalisms and separatisms health food and environment economic cooperation and integration in the americas trajectory of economic development of mena the monetary and economic union
global business service,sektor nowoczesnych usług biznesowych stale rośnie realizowane coraz złożone procesy wymagające coraz większych kompetencji utrzymania konkurencyjności sektora tle regionu niezbędne pozyskanie określonej liczby pracowników młodych rozpoczynających życie zawodowe rozwój kompetencji związanych innowacyjnością nowoczesnymi technologiami cyfryzacją studenci kierunku global business service zdobędą umiejętności kluczowe perspektywy sektora nowoczesnych usług biznesowych kompetencje przyszłości związane finansami analizą danych nowoczesnymi technologiami zyskają umiejętności miękkie praca zespołowa zarządzanie zmianą umiejętność współpracy międzynarodowym środowisku biznesowym kierunek gbs przygotuje studentów rozwoju międzynarodowej kariery centrach biznesowych należących największych firm świecie wśród partnerów kierunku absl znalazło czołowych podmiotów sektora pierwszy kierunek polsce stworzony podstaw biznes naukę kształcić pracowników sektora funkcjonującego otoczeniu rozwijających technologii nowych gałęzi gospodarki studia celu wykształcenie specjalisty dostępne trzy ścieżki dydaktyczne poświęcone obszarom widzisz swoją przyszłość międzynarodowym biznesie wykorzystuje nowoczesne technologie studia pewnością zainteresują kierunek kształcić absolwenta zorientowanego kształcenie kompetencji pozwalających nieszablonowe myślenie proaktywność nastawienie rozwiązania pracę środowisku międzynarodowym biegłym językiem angielskim znającym narzędzia it otwartym nowości gotowym podejmowania zmian przykładowe przedmioty programie studiów it biznesie data science komunikacja organizacji rozwiązywanie problemów zarządzanie zasobami ludzkimi przywództwo csr globalne inwestycje fuzje przejęcia finanse międzynarodowe prawo zamówień publicznych
global studies,global studies studia pierwszego stopnia trwające trzy lata kierunek prowadzony języku angielskim globalizacja problemy globalne globalistyka edukacja globalna bliskoznacznych terminów swoją własną specyfiką kierunek global studies łączy dużą dozę praktycznych doświadczeń zdobytych wypraw badawczych rejonach światach ekspertów wiedzą akademicką programie studiów łączą sfery global studies studia pasjonatów osób zainteresowanych głębszym poznawaniem świata globalizacja stanowi wyzwanie postrzegana złożony niejednoznaczny proces niezbędny zrozumienia otaczającej rzeczywistości wyzwań przyszłości studenci global studies zgłębiają interdyscyplinarną wiedzę zakresu nauk politycznych ekonomii socjologii kultury nowych technologii trakcie studiów zdobędą wiedzę zakresu teorii globalnego rozwoju geopolityki praw człowieka polityk publicznych bliżej przyjrzą niezwykle istotnym problemom globalnym przedmiotach takich konflikty współczesnego świata żywność woda xxi wieku rozwój miast zapoznają tematyką ruchów alterglobalistycznych organizacji międzynarodowych dzisiejszych trendów megatrendów studenci zyskają umiejętności pracy wielonarodowym międzykulturowym środowisku studia osób zainteresowanych światem dowiesz świat wygląda uzyskasz wsparcie procesie poznawania różnych perspektywach politycznej ekonomicznej społecznej kulturowej wybrane przedmioty programie studiów theory of global development social inequalities conflicts in the modern world trends and megatrends in the global world global issues menagement
